,Unnamed: 0,release_date,Title,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,Director,Writer,Actors,Runtime,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,BoxOffice
10,11,6/1/2012,Snow White and the Huntsman,170000000,155136755,401021746,Universal,PG-13,Adventure,Rupert Sanders,"Evan Daugherty, John Lee Hancock, Hossein Amini","Kristen Stewart, Chris Hemsworth, Charlize Theron",127 min,English,"United States, United Kingdom",Nominated for 2 Oscars. 13 wins & 32 nominations total,https://m.media-amazon.com/images/M/MV5BOGQ5MWNjZGQtOWM2ZC00MjEyLWEwODAtN2JmN2U0OWQ0YzI3XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,57,6.1,"298,147","$155,332,381 "
11,12,7/1/2003,Terminator 3: Rise of the Machines,170000000,150358296,433058296,Warner Bros.,R,Action,Jonathan Mostow,"John Brancato, Michael Ferris, Tedi Sarafian","Arnold Schwarzenegger, Nick Stahl, Kristanna Loken",109 min,English,"United States, Germany, United Kingdom",3 wins & 24 nominations,https://m.media-amazon.com/images/M/MV5BMTk5NzM1ODgyN15BMl5BanBnXkFtZTcwMzA5MjAzMw@@._V1_SX300.jpg,66,6.3,"412,604","$150,371,112 "
12,13,5/7/2004,Van Helsing,170000000,120150546,300150546,Universal,PG-13,Action,Stephen Sommers,Stephen Sommers,"Hugh Jackman, Kate Beckinsale, Richard Roxburgh",131 min,"English, Latin, Persian","United States, Czech Republic",3 wins & 21 nominations,https://m.media-amazon.com/images/M/MV5BODRmY2NhNDItOWViNi00OTIyLTk3YjYtYzY0YTFlMDg1YzQ0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,35,6.1,"279,340","$120,177,084 "
13,14,5/22/2015,Tomorrowland,170000000,93436322,207283457,Walt Disney,PG,Adventure,Brad Bird,"Damon Lindelof, Brad Bird, Jeff Jensen","George Clooney, Britt Robertson, Hugh Laurie",130 min,"English, French, Japanese","United States, Spain, France, Canada, United Kingdom",2 wins & 19 nominations,https://m.media-amazon.com/images/M/MV5BMTQ4OTgzNTkwNF5BMl5BanBnXkFtZTgwMzI3MDE3NDE@._V1_SX300.jpg,60,6.4,"188,205","$93,436,322 "
14,15,5/27/2016,Alice Through the Looking Glass,170000000,77042381,276934087,Walt Disney,PG,Adventure,James Bobin,"Linda Woolverton, Lewis Carroll","Mia Wasikowska, Johnny Depp, Helena Bonham Carter",113 min,English,United States,4 wins & 20 nominations,https://m.media-amazon.com/images/M/MV5BMTc2NjExMTIyN15BMl5BanBnXkFtZTgwMjg0OTIwODE@._V1_SX300.jpg,34,6.2,"118,200","$77,041,381 "
15,16,5/21/2010,Shrek Forever After,165000000,238736787,756244673,Paramount Pictures,PG,Adventure,Mike Mitchell,"Josh Klausner, Darren Lemke, William Steig","Mike Myers, Cameron Diaz, Eddie Murphy",95 min,English,"United States, France",1 win & 13 nominations,https://m.media-amazon.com/images/M/MV5BMTY0OTU1NzkxMl5BMl5BanBnXkFtZTcwMzI2NDUzMw@@._V1_SX300.jpg,58,6.3,"219,197","$238,736,787 "
16,17,11/4/2016,Doctor Strange,165000000,232641920,676486457,Walt Disney,PG-13,Action,Scott Derrickson,"Jon Spaihts, Scott Derrickson, C. Robert Cargill","Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams",115 min,English,United States,Nominated for 1 Oscar. 20 wins & 68 nominations total,https://m.media-amazon.com/images/M/MV5BNjgwNzAzNjk1Nl5BMl5BanBnXkFtZTgwMzQ2NjI1OTE@._V1_SX300.jpg,72,7.5,"781,740","$232,641,920 "
17,18,11/7/2014,Big Hero 6,165000000,222527828,652127828,Walt Disney,PG,Adventure,"Don Hall, Chris Williams","Jordan Roberts, Robert L. Baird, Daniel Gerson","Ryan Potter, Scott Adsit, Jamie Chung",102 min,English,"United States, Japan",Won 1 Oscar. 17 wins & 58 nominations total,https://m.media-amazon.com/images/M/MV5BMDliOTIzNmUtOTllOC00NDU3LWFiNjYtMGM0NDc1YTMxNjYxXkEyXkFqcGdeQXVyNTM3NzExMDQ@._V1_SX300.jpg,74,7.8,"486,738","$222,527,828 "
18,19,3/26/2010,How to Train Your Dragon,165000000,217581232,494870992,Paramount Pictures,PG,Adventure,"Dean DeBlois, Chris Sanders","William Davies, Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse",98 min,English,"United States, France",Nominated for 2 Oscars. 25 wins & 63 nominations total,https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_SX300.jpg,75,8.1,"777,194","$217,581,231 "
19,20,11/2/2012,Wreck-It Ralph,165000000,189412677,496511521,Walt Disney,PG,Adventure,Rich Moore,"Rich Moore, Phil Johnston, Jim Reardon","John C. Reilly, Jack McBrayer, Jane Lynch",101 min,English,"United States, Japan",Nominated for 1 Oscar. 33 wins & 42 nominations total,https://m.media-amazon.com/images/M/MV5BNzMxNTExOTkyMF5BMl5BanBnXkFtZTcwMzEyNDc0OA@@._V1_SX300.jpg,72,7.7,"446,459","$189,422,889 "
20,21,11/5/2014,Interstellar,165000000,188017894,667752422,Paramount Pictures,PG-13,Adventure,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Matthew McConaughey, Anne Hathaway, Jessica Chastain",169 min,English,"United States, United Kingdom, Canada",Won 1 Oscar. 44 wins & 148 nominations total,https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,74,8.7,"1,995,560","$188,020,017 "
21,22,6/24/2016,Independence Day: Resurgence,165000000,103144286,384413934,20th Century Fox,PG-13,Action,Roland Emmerich,"Nicolas Wright, James A. Woods, Dean Devlin","Liam Hemsworth, Jeff Goldblum, Bill Pullman",120 min,"English, Mandarin",United States,3 wins & 17 nominations,https://m.media-amazon.com/images/M/MV5BMjIyMTg5MTg4OV5BMl5BanBnXkFtZTgwMzkzMjY5NzE@._V1_SX300.jpg,32,5.2,"186,090","$103,144,286 "
22,23,7/29/2011,Cowboys and Aliens,163000000,100368560,176038324,Universal,PG-13,Action,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found,Movie not found
23,24,5/17/2007,Shrek the Third,160000000,322719944,807330936,Paramount Pictures,PG,Adventure,"Chris Miller, Raman Hui","William Steig, Andrew Adamson, Jeffrey Price","Mike Myers, Cameron Diaz, Eddie Murphy",93 min,English,"United States, Australia",Nominated for 1 BAFTA Award5 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BOTgyMjc3ODk2MV5BMl5BanBnXkFtZTcwMjY0MjEzMw@@._V1_SX300.jpg,58,6.1,"324,044","$322,719,944 "
24,25,5/24/2013,Fast & Furious 6,160000000,238679850,789300444,Universal,PG-13,Action,Justin Lin,"Chris Morgan, Gary Scott Thompson","Vin Diesel, Paul Walker, Dwayne Johnson",130 min,"English, Spanish, Russian, Japanese, Cantonese, Dutch, Danish, Ukrainian","United States, Japan, Spain, United Kingdom",11 wins & 22 nominations,https://m.media-amazon.com/images/M/MV5BMTM3NTg2NDQzOF5BMl5BanBnXkFtZTcwNjc2NzQzOQ@@._V1_SX300.jpg,61,7,"409,772","$238,679,850 "
25,26,6/3/2011,X-Men: First Class,160000000,146408305,355408305,20th Century Fox,PG-13,Action,Matthew Vaughn,"Ashley Miller, Zack Stentz, Jane Goldman","James McAvoy, Michael Fassbender, Jennifer Lawrence",131 min,"English, German, French, Spanish, Russian","United States, United Kingdom",21 wins & 39 nominations,https://m.media-amazon.com/images/M/MV5BMTg5OTMxNzk4Nl5BMl5BanBnXkFtZTcwOTk1MjAwNQ@@._V1_SX300.jpg,65,7.7,"712,670","$146,408,305 "
26,27,12/25/2008,The Curious Case of Benjamin Button,160000000,127509326,329631958,Paramount Pictures,PG-13,Drama,David Fincher,"Eric Roth, Robin Swicord, F. Scott Fitzgerald","Brad Pitt, Cate Blanchett, Tilda Swinton",166 min,"English, Russian, French",United States,Won 3 Oscars. 85 wins & 160 nominations total,https://m.media-amazon.com/images/M/MV5BMzI4M2I1MTItYjdiYi00YTZhLTg0NDgtZWIzOGU5ZmM3NWZlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,70,7.8,"678,942","$127,509,326 "
27,28,7/14/2010,The Sorcerer's Apprentice,160000000,63150991,217986320,Walt Disney,PG,Adventure,Jon Turteltaub,"Lawrence Konner, Mark Rosenthal, Matt Lopez","Nicolas Cage, Jay Baruchel, Alfred Molina",109 min,"English, Cantonese, Ukrainian, Hindi",United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BN2EwMzg3YWUtMTQyYS00ZDY3LTgzNTctOWI5NzY3MmZkOTk2XkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_SX300.jpg,46,6.1,"167,591","$63,150,991 "
28,29,5/12/2006,Poseidon,160000000,60674817,181674817,Warner Bros.,PG-13,Adventure,Wolfgang Petersen,"Mark Protosevich, Paul Gallico","Richard Dreyfuss, Kurt Russell, Emmy Rossum",98 min,"English, Spanish",United States,Nominated for 1 Oscar. 7 nominations total,https://m.media-amazon.com/images/M/MV5BMTIwOTMwODM2Nl5BMl5BanBnXkFtZTYwMDY5NjU3._V1_SX300.jpg,50,5.7,"108,670","$60,674,817 "
29,30,6/10/2016,Warcraft,160000000,47225655,425547111,Universal,PG-13,Action,Duncan Jones,"Charles Leavitt, Duncan Jones","Travis Fimmel, Paula Patton, Ben Foster",123 min,English,"China, United States, Canada, Japan",2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMjIwNTM0Mzc5MV5BMl5BanBnXkFtZTgwMDk5NDU1ODE@._V1_SX300.jpg,32,6.7,"273,685","$47,365,290 "
30,31,12/21/2018,Aquaman,160000000,0,0,Warner Bros.,PG-13,Action,James Wan,"David Leslie Johnson-McGoldrick, Will Beall, Geoff Johns","Jason Momoa, Amber Heard, Willem Dafoe",143 min,"English, Russian, Maori, Italian","United States, Australia",3 wins & 36 nominations,https://m.media-amazon.com/images/M/MV5BOTk5ODg0OTU5M15BMl5BanBnXkFtZTgwMDQ3MDY3NjM@._V1_SX300.jpg,55,6.8,"502,712","$335,104,314 "
31,32,9/30/2016,Deepwater Horizon,156000000,61433527,122631306,Lionsgate,PG-13,Drama,Peter Berg,"Matthew Michael Carnahan, Matthew Sand, David Barstow","Mark Wahlberg, Kurt Russell, Douglas M. Griffin",107 min,English,"United States, Hong Kong, China",Nominated for 2 Oscars. 4 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BOTEzNDU0OTgxM15BMl5BanBnXkFtZTgwNjA0ODM2OTE@._V1_SX300.jpg,68,7.1,"177,373","$61,433,527 "
32,33,7/1/2015,Terminator: Genisys,155000000,89760956,432150894,Paramount Pictures,PG-13,Action,Alan Taylor,"Laeta Kalogridis, Patrick Lussier, James Cameron","Arnold Schwarzenegger, Jason Clarke, Emilia Clarke",126 min,"English, Ukrainian","United States, Canada",10 nominations,https://m.media-amazon.com/images/M/MV5BMjM1NTc0NzE4OF5BMl5BanBnXkFtZTgwNDkyNjQ1NTE@._V1_SX300.jpg,38,6.3,"288,173","$89,760,956 "
33,34,3/23/2018,Pacific Rim: Uprising,155000000,59185715,290241338,Universal,PG-13,Action,Steven S. DeKnight,"Steven S. DeKnight, Emily Carmichael, Kira Snyder","John Boyega, Scott Eastwood, Cailee Spaeny",111 min,"English, Mandarin, Russian","United Kingdom, China, Japan, United States, Mexico",6 nominations,https://m.media-amazon.com/images/M/MV5BMjI3Nzg0MTM5NF5BMl5BanBnXkFtZTgwOTE2MTgwNTM@._V1_SX300.jpg,44,5.6,"123,818","$59,874,525 "
34,35,11/24/2004,Alexander,155000000,34297191,167297191,Warner Bros.,R,Action,Oliver Stone,"Oliver Stone, Christopher Kyle, Laeta Kalogridis","Colin Farrell, Anthony Hopkins, Rosario Dawson",175 min,English,"United States, United Kingdom, Germany, Netherlands, France, Italy",6 wins & 19 nominations,https://m.media-amazon.com/images/M/MV5BMTA1NDQ3OTY2NDVeQTJeQWpwZ15BbWU3MDI5MDc0MzM@._V1_SX300.jpg,40,5.6,"174,236","$34,297,191 "
35,36,7/14/2017,War for the Planet of the Apes,152000000,146880162,489592267,20th Century Fox,PG-13,Action,Matt Reeves,"Mark Bomback, Matt Reeves, Rick Jaffa","Andy Serkis, Woody Harrelson, Steve Zahn",140 min,"English, American Sign ",United States,Nominated for 1 Oscar. 28 wins & 65 nominations total,https://m.media-amazon.com/images/M/MV5BNDNmYTQzMDEtMmY0MS00OTNjLTk4MjItMDZhMzkzOGI3MzA0XkEyXkFqcGdeQXVyNjk5NDA3OTk@._V1_SX300.jpg,82,7.4,"271,997","$146,880,162 "
36,37,5/25/2001,Pearl Harbor,151500000,198539855,449239855,Walt Disney,PG-13,Action,Michael Bay,Randall Wallace,"Ben Affleck, Kate Beckinsale, Josh Hartnett",183 min,"English, Japanese, French, Latin, Chinese",United States,Won 1 Oscar. 14 wins & 51 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ3MDc0MDc1NF5BMl5BanBnXkFtZTYwODI1ODY2._V1_SX300.jpg,44,6.2,"345,656","$198,542,554 "
37,38,7/2/2007,Transformers,151000000,319246193,708272592,Paramount Pictures,PG-13,Action,Michael Bay,"Roberto Orci, Alex Kurtzman, John Rogers","Shia LaBeouf, Megan Fox, Josh Duhamel",144 min,"English, Spanish",United States,Nominated for 3 Oscars. 25 wins & 50 nominations total,https://m.media-amazon.com/images/M/MV5BNWI1NjkxM2MtOTU4My00YzQ5LTliNGMtNmFlM2U5NWM3MDY1XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,61,7,"663,672","$319,246,193 "
38,39,6/2/2017,Wonder Woman,150000000,412563408,821133378,Warner Bros.,PG-13,Action,Patty Jenkins,"Allan Heinberg, Zack Snyder, Jason Fuchs","Gal Gadot, Chris Pine, Robin Wright",141 min,"English, German, Dutch, Flemish, French, Spanish, Chinese, Greek, Ancient (to 1453), North American Indian","United States, China",38 wins & 72 nominations,https://m.media-amazon.com/images/M/MV5BMTYzODQzYjQtNTczNC00MzZhLTg1ZWYtZDUxYmQ3ZTY4NzA1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,76,7.4,"685,164","$412,845,172 "
39,40,3/4/2016,Zootopia,150000000,341268248,1019706594,Walt Disney,PG,Adventure,"Byron Howard, Rich Moore, Jared Bush","Byron Howard, Rich Moore, Jared Bush","Ginnifer Goodwin, Jason Bateman, Idris Elba",108 min,English,United States,Won 1 Oscar. 49 wins & 75 nominations total,https://m.media-amazon.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_SX300.jpg,78,8,"527,948","$341,268,248 "
40,41,11/18/2005,Harry Potter and the Goblet of Fire,150000000,290013036,896911078,Warner Bros.,PG-13,Adventure,Mike Newell,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint",157 min,"English, French, Latin","United Kingdom, United States",Nominated for 1 Oscar. 13 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1_SX300.jpg,81,7.7,"659,279","$290,469,928 "
41,42,5/15/2003,The Matrix Reloaded,150000000,281553689,738576929,Warner Bros.,R,Action,"Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",138 min,"English, French",United States,8 wins & 34 nominations,https://m.media-amazon.com/images/M/MV5BODE0MzZhZTgtYzkwYi00YmI5LThlZWYtOWRmNWE5ODk0NzMxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,62,7.2,"616,809","$281,576,461 "
42,43,12/14/2007,I am Legend,150000000,256393010,585532684,Warner Bros.,PG-13,Horror,Francis Lawrence,"Mark Protosevich, Akiva Goldsman, Richard Matheson","Will Smith, Alice Braga, Charlie Tahan",101 min,English,United States,9 wins & 23 nominations,https://m.media-amazon.com/images/M/MV5BYTE1ZTBlYzgtNmMyNS00ZTQ2LWE4NjEtZjUxNDJkNTg2MzlhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,65,7.2,"794,692","$256,393,010 "
43,44,7/1/2008,Hancock,150000000,227946274,624234272,Sony Pictures,PG-13,Action,Peter Berg,"Vy Vincent Ngo, Vince Gilligan","Will Smith, Charlize Theron, Jason Bateman",92 min,"English, Japanese, Vietnamese",United States,4 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BMTgyMzc4ODU3NV5BMl5BanBnXkFtZTcwNjk5Mzc1MQ@@._V1_SX300.jpg,49,6.4,"501,927","$227,946,274 "
44,45,7/15/2005,Charlie and the Chocolate Factory,150000000,206459076,475825484,Warner Bros.,PG,Adventure,Tim Burton,"Roald Dahl, John August","Johnny Depp, Freddie Highmore, David Kelly",115 min,English,"United States, United Kingdom",Nominated for 1 Oscar. 15 wins & 52 nominations total,https://m.media-amazon.com/images/M/MV5BNjcxMjg1Njg2NF5BMl5BanBnXkFtZTcwMjQ4NzMzMw@@._V1_SX300.jpg,72,6.7,"506,958","$206,459,076 "
45,46,6/29/2007,Ratatouille,150000000,206445654,626549695,Walt Disney,G,Adventure,"Brad Bird, Jan Pinkava","Brad Bird, Jan Pinkava, Jim Capobianco","Brad Garrett, Lou Romano, Patton Oswalt",111 min,"English, French",United States,Won 1 Oscar. 68 wins & 42 nominations total,https://m.media-amazon.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_SX300.jpg,96,8.1,"790,088","$206,445,654 "
46,47,11/8/2013,Thor: The Dark World,150000000,206362140,644602516,Walt Disney,PG-13,Action,Alan Taylor,"Christopher L. Yost, Christopher Markus, Stephen McFeely","Chris Hemsworth, Natalie Portman, Tom Hiddleston",112 min,English,United States,4 wins & 21 nominations,https://m.media-amazon.com/images/M/MV5BMTQyNzAwOTUxOF5BMl5BanBnXkFtZTcwMTE0OTc5OQ@@._V1_SX300.jpg,54,6.8,"710,765","$206,362,140 "
47,48,6/15/2005,Batman Begins,150000000,205343774,359142722,Warner Bros.,PG-13,Action,Christopher Nolan,"Bob Kane, David S. Goyer, Christopher Nolan","Christian Bale, Michael Caine, Ken Watanabe",140 min,"English, Mandarin","United States, United Kingdom",Nominated for 1 Oscar. 14 wins & 79 nominations total,https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,70,8.2,"1,540,461","$206,863,479 "
48,49,7/31/2015,Mission: Impossible—Rogue Nation,150000000,195042377,689388363,Paramount Pictures,PG-13,Action,Christopher McQuarrie,"Bruce Geller, Christopher McQuarrie, Drew Pearce","Tom Cruise, Rebecca Ferguson, Jeremy Renner",131 min,"English, Swedish, German, Russian","United States, China",6 wins & 26 nominations,https://m.media-amazon.com/images/M/MV5BOTFmNDA3ZjMtN2Y0MC00NDYyLWFlY2UtNTQ4OTQxMmY1NmVjXkEyXkFqcGdeQXVyNTg4NDQ4NDY@._V1_SX300.jpg,75,7.4,"401,172","$195,042,377 "
49,50,7/21/2017,Dunkirk,150000000,190068280,499900860,Warner Bros.,PG-13,Action,Christopher Nolan,Christopher Nolan,"Fionn Whitehead, Barry Keoghan, Mark Rylance",106 min,"English, French, German","United Kingdom, Netherlands, France, United States",Won 3 Oscars. 66 wins & 233 nominations total,https://m.media-amazon.com/images/M/MV5BN2YyZjQ0NTEtNzU5MS00NGZkLTg0MTEtYzJmMWY3MWRhZjM2XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,94,7.8,"713,730","$189,740,665 "
50,51,5/6/2011,Thor,150000000,181030624,449326618,Paramount Pictures,PG-13,Action,Kenneth Branagh,"Ashley Miller, Zack Stentz, Don Payne","Chris Hemsworth, Anthony Hopkins, Natalie Portman",115 min,English,United States,5 wins & 30 nominations,https://m.media-amazon.com/images/M/MV5BOGE4NzU1YTAtNzA3Mi00ZTA2LTg2YmYtMDJmMThiMjlkYjg2XkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg,57,7,"882,302","$181,030,624 "
51,52,11/7/2008,Madagascar: Escape 2 Africa,150000000,180174880,599680774,Paramount Pictures,PG,Adventure,"Eric Darnell, Tom McGrath","Etan Cohen, Eric Darnell, Tom McGrath","Ben Stiller, Chris Rock, David Schwimmer",89 min,English,United States,4 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BNTE2YzljYzAtMzRlMi00ZmY1LThiMTMtZGQ3OTI3MTNmOWI2XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,61,6.6,"241,422","$180,010,950 "
52,53,5/1/2009,X-Men Origins: Wolverine,150000000,179883157,374825760,20th Century Fox,PG-13,Action,Gavin Hood,"David Benioff, Skip Woods","Hugh Jackman, Liev Schreiber, Ryan Reynolds",107 min,English,"United States, United Kingdom",3 wins & 21 nominations,https://m.media-amazon.com/images/M/MV5BZWRhMzdhMzEtZTViNy00YWYyLTgxZmUtMTMwMWM0NTEyMjk3XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,40,6.5,"521,380","$179,883,157 "
53,54,5/26/2011,Kung Fu Panda 2,150000000,165249063,664837547,Paramount Pictures,PG,Adventure,Jennifer Yuh Nelson,"Jonathan Aibel, Glenn Berger, Ethan Reiff","Jack Black, Angelina Jolie, Jackie Chan",90 min,English,"United States, Canada",Nominated for 1 Oscar. 5 wins & 47 nominations total,https://m.media-amazon.com/images/M/MV5BYzQ0ZWIxZjAtYWI3Yy00MGM0LWFjOGYtNzcyYThiOTA3ODI1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,67,7.2,"306,630","$165,249,063 "
